site_id,cdli_provenience_id,accuracy,anc_name,transc_name,ara_name,arm_name,fas_name,geo_name,gre_name,heb_name,rus_name,legacy_name,pleiades_url,osm_url,geonames_url,wik_en,wik_ara,wik_fas,wik_gre,wik_heb,wik_tr,rla_url,wikidata_url,lon_wgs1984,lat_wgs1984
ARR,https://cdli.mpiwg-berlin.mpg.de/proveniences/165,3,Arrapha,Kirkūk,كركوك,,,,,,,Arrapha (mod. Kirkuk),https://pleiades.stoa.org/places/893941,https://www.openstreetmap.org/way/602684164,,https://en.wikipedia.org/wiki/Arrapha,https://ar.wikipedia.org/wiki/عرفة_(العراق),,,,,,https://wikidata.org/wiki/Q672905,44.3957,35.4701
ART,https://cdli.mpiwg-berlin.mpg.de/proveniences/35,3,Ḫadatu,Arslān Ṭash,أرسلان طاش,,,,,,,Ḫadatu (mod. Arslan Tash),https://pleiades.stoa.org/places/658399,https://www.openstreetmap.org/way/268543376,https://www.geonames.org/172902,https://en.wikipedia.org/wiki/Arslan_Tash,https://ar.wikipedia.org/wiki/حداتو,,,,,,https://wikidata.org/wiki/Q1254502,38.4078,36.8484
ARU,https://cdli.mpiwg-berlin.mpg.de/proveniences/675,1,,Aruch,,Արուճ,,,,,,uncertain (mod. Aruch),https://pleiades.stoa.org/places/799968314,https://www.openstreetmap.org/node/1450817083,https://www.geonames.org/823790,https://en.wikipedia.org/wiki/Aruch,,,,,,,https://wikidata.org/wiki/Q1144232,44.0784,40.2865
ASA,https://cdli.mpiwg-berlin.mpg.de/proveniences/676,3,,Aşağı Anzaf,,,,,,,,uncertain (mod. Aşağı Anzaf),https://pleiades.stoa.org/places/72333196,https://www.openstreetmap.org/way/1057267893,,,,,,,,,,43.4643,38.5678
ASD,https://cdli.mpiwg-berlin.mpg.de/proveniences/364,3,Asdûdu,Ashdod,,,,,,אַשְׁדּוֹד,,Asdūdu (mod. Ashdod),https://pleiades.stoa.org/places/687838,,https://www.geonames.org/293402,https://en.wikipedia.org/wiki/Isdud,,,,https://he.wikipedia.org/wiki/איסדוד,,,https://wikidata.org/wiki/Q7183947,34.6593,31.756
ASK,https://cdli.mpiwg-berlin.mpg.de/proveniences/73,3,,Tall Abū Ṣālabīkh,تل أبو صلابيخ,,,,,,,uncertain (mod. Abu Salabikh),https://pleiades.stoa.org/places/912950,https://www.openstreetmap.org/way/552343783,,https://en.wikipedia.org/wiki/Abu_Salabikh,https://ar.wikipedia.org/wiki/أبو_صلابيخ,,,,,,https://wikidata.org/wiki/Q195128,45.0544,32.2526
ASS,https://cdli.mpiwg-berlin.mpg.de/proveniences/211,3,Assur,Qalʻat Shirqāṭ,قاعة شرقط,,,,,,,Assur (mod. Qalat Sherqat),https://pleiades.stoa.org/places/893945,https://www.openstreetmap.org/way/144223654,,https://en.wikipedia.org/wiki/Assur,https://ar.wikipedia.org/wiki/آشور_(مدينة),,,,,http://publikationen.badw.de/de/rla/index#9 819,https://wikidata.org/wiki/Q200200,43.2611,35.4557
AST,https://cdli.mpiwg-berlin.mpg.de/proveniences/677,1,,Metsopay-Vank,,,,,,,,uncertain (mod. Metsopay-Vank),https://pleiades.stoa.org/places/945756279,,,,,,,,,,,43.0397,39.1679
ASZ,https://cdli.mpiwg-berlin.mpg.de/proveniences/136,3,Ašnakkum,Tall Shāghir Bāzār,تل شاغر بازار,,,,,,,Ašnakkum (mod. Chagar Bazar),https://pleiades.stoa.org/places/480215077,https://www.openstreetmap.org/way/492109676,https://www.geonames.org/169251,https://en.wikipedia.org/wiki/Chagar_Bazar,https://ar.wikipedia.org/wiki/تل_شاغربازار,,,,,,https://wikidata.org/wiki/Q4120161,40.8978,36.8755
ATB,https://cdli.mpiwg-berlin.mpg.de/proveniences/678,3,,Abū Ṭbīrah,ابو طبيرة,,,,,,,uncertain (mod. Abū Ṭbīrah),https://pleiades.stoa.org/places/653507572,,,,,,,,,,https://wikidata.org/wiki/Q56304495,46.2678,30.9828
AUS,https://cdli.mpiwg-berlin.mpg.de/proveniences/679,3,Pitru,Tall ‘Aushariyah,تل عوشرية,,,,,,,Pitru (mod. Tall ‘Aushariyah),https://pleiades.stoa.org/places/771224407,,,https://en.wikipedia.org/wiki/Pitru,,,,,,,,38.0755,36.6599
AVN,https://cdli.mpiwg-berlin.mpg.de/proveniences/680,2,,Güzelhisar,,,,,,,,uncertain (mod. Güzelhisar),https://pleiades.stoa.org/places/831878282,https://www.openstreetmap.org/node/1493009686,https://www.geonames.org/313233,,,,,,,,,41.9817,39.8283
AWA,https://cdli.mpiwg-berlin.mpg.de/proveniences/681,1,,Qal‘at ‘Awaynah,قلعة عوينة,,,,,,,uncertain (mod. Qal‘at ‘Awaynah),https://pleiades.stoa.org/places/872004919,,,,,,,,,,,43.7195,36.0754
AYA,https://cdli.mpiwg-berlin.mpg.de/proveniences/682,3,Rusaginili Eidurukai,Ayanıs,,,,,,,,Rusaginili Eidurukai (mod. Ayanıs),https://pleiades.stoa.org/places/722596019,https://www.openstreetmap.org/way/185622364,,,,,,,,,https://wikidata.org/wiki/Q54571,43.2114,38.7083
AYC,https://cdli.mpiwg-berlin.mpg.de/proveniences/310,3,,Aşağı Yarımca,,,,,,,,uncertain (mod. Aşağı Yarımca),https://pleiades.stoa.org/places/872004920,https://www.openstreetmap.org/node/2311371181,https://www.geonames.org/436411,,,,,,,,,38.969,36.8949
AZF,https://cdli.mpiwg-berlin.mpg.de/proveniences/683,3,,Yukarı Anzaf,,,,,,,,uncertain (mod. Yukarı Anzaf),https://pleiades.stoa.org/places/91764390,https://www.openstreetmap.org/way/1057267786,,,,,,,,,,43.4703,38.5597
AZN,https://cdli.mpiwg-berlin.mpg.de/proveniences/684,2,Aludiri,Aznavurtepe,,,,,,,,,https://pleiades.stoa.org/places/939417484,https://www.openstreetmap.org/way/185634808,,,,,,,,,,42.8337,39.2502
BAA,https://cdli.mpiwg-berlin.mpg.de/proveniences/685,3,,Tall Bint al-Amīr,تل بنت الأمير,,,,,,,uncertain (mod. Tall Bint al-Amīr),https://pleiades.stoa.org/places/871762029,,,,,,,,,,,44.9042,32.1958
BAB,https://cdli.mpiwg-berlin.mpg.de/proveniences/200,3,Babylon,Bābīl,بابيل,,,,,,,Babylon (mod. Bābil),https://pleiades.stoa.org/places/893951,https://www.openstreetmap.org/node/2488023863,https://www.geonames.org/98228,https://en.wikipedia.org/wiki/Babylon,https://ar.wikipedia.org/wiki/بابل,,,,,http://publikationen.badw.de/de/rla/index#1275,,44.4258,32.535
BAH,https://cdli.mpiwg-berlin.mpg.de/proveniences/687,1,,Bahçecik,,,,,,,,uncertain (mod. Bahçecik),https://pleiades.stoa.org/places/606753805,,,,,,,,,,,40.0858,38.9117
BAK,https://cdli.mpiwg-berlin.mpg.de/proveniences/688,2,,Bakraçlı,,,,,,,,uncertain (mod. Bakraçlı),https://pleiades.stoa.org/places/970074272,https://www.openstreetmap.org/way/763344264,https://www.geonames.org/322242,https://en.wikipedia.org/wiki/Varagavank,,,,,https://tr.wikipedia.org/wiki/Yedi_Kilise_(Van),,,43.4612,38.4491
BAL,https://cdli.mpiwg-berlin.mpg.de/proveniences/689,1,,Bağin,,,,,,,,uncertain (mod. Bağin),https://pleiades.stoa.org/places/48906850,https://www.openstreetmap.org/node/1078126242,https://www.geonames.org/314984,https://en.wikipedia.org/wiki/Bağın,,,,,,,https://wikidata.org/wiki/Q113876359,39.9002,39.0034
BAM,https://cdli.mpiwg-berlin.mpg.de/proveniences/417,3,,Kition,,,,,Κίτιον,,,uncertain (mod. Lacarna),https://pleiades.stoa.org/places/707534,https://www.openstreetmap.org/node/7273182294,https://www.geonames.org/11919539,https://en.wikipedia.org/wiki/Kition,,,https://el.wikipedia.org/wiki/Κίτιο,,,,https://wikidata.org/wiki/Q1743884,33.6329,34.9201
BAQ,https://cdli.mpiwg-berlin.mpg.de/proveniences/690,2,Bit-Adad-eriba,Tall Baqāq,تل بقاق,,,,,,,Bit-Adad-eriba (mod. Tall Baqāq),https://pleiades.stoa.org/places/977603753,https://www.openstreetmap.org/node/2488215772,,,,,,,,,,42.9369,36.6888
BAR,https://cdli.mpiwg-berlin.mpg.de/proveniences/361,3,Girumu,Tall Barguthiat,,,,,,,,,https://pleiades.stoa.org/places/894000,,,,,,,,,,,44.7947,32.7029
BAS,https://cdli.mpiwg-berlin.mpg.de/proveniences/24,3,Mardaman,Bassatki,باستكي,,,,,,,Mardaman (mod. Bassetki),https://pleiades.stoa.org/places/48906851,https://www.openstreetmap.org/way/624850125,,https://en.wikipedia.org/wiki/Mardaman,https://ar.wikipedia.org/wiki/مردمان,,,,,,https://wikidata.org/wiki/Q11935295,42.7213,36.9589
