site_id,cdli_provenience_id,accuracy,anc_name,transc_name,ara_name,arm_name,fas_name,geo_name,gre_name,heb_name,rus_name,legacy_name,pleiades_url,osm_url,geonames_url,wik_en,wik_ara,wik_fas,wik_gre,wik_heb,wik_tr,rla_url,wikidata_url,lon_wgs1984,lat_wgs1984
QAN,11,3,,Qaṣr-i Abūnaṣr,,,قصر ابونصر,,,,,Qasr-i Abu Nasr (mod. uncertain),,,https://www.geonames.org/119600,,,,,,,,,52.6252,29.5848
QAT,242,3,Qatara,Tall al-Rimah,تل الرمة,,,,,,,Qatara (mod. Tell al Rimah),https://pleiades.stoa.org/places/356369838,https://www.openstreetmap.org/way/499377166,https://www.geonames.org/6786680,https://en.wikipedia.org/wiki/Tell_al-Rimah,https://ar.wikipedia.org/wiki/تل_الرماح,,,,,,https://wikidata.org/wiki/Q195286,42.4500,36.2569
QBR,233,3,,Tall Abū Qubur,تل أبو قبر,,,,,,,uncertain (mod. Tell Abu Qubur),https://pleiades.stoa.org/places/894110,,,,,,,,,,,44.2185,33.1455
QCH,0,2,,Qarah Jatān,قرة جتان,,,,,,,,,https://www.openstreetmap.org/way/775121038,https://www.geonames.org/92440,,,,,,,,,45.1914,35.7417
QDS,0,3,Qadeš,Tall al-Nabī Mandū,تل النبي مندو,,,,,,,,https://pleiades.stoa.org/places/668291,https://www.openstreetmap.org/way/183941422,https://www.geonames.org/168753,,,,,,,,,36.5194,34.5570
QHD,0,3,,Tall al-Hādī,تل الهادي,,,,,,,,,https://www.openstreetmap.org/node/567215235,https://www.geonames.org/163577,,,,,,,,,41.8650,36.8707
QIT,0,3,,Tall al-Qiṭar,تل القطار,,,,,,,,,https://www.openstreetmap.org/way/766039147,https://www.geonames.org/9082,,,,,,,,,38.1803,36.3837
QLD,0,3,,Qalat-i Dinka,,,,,,,,,https://pleiades.stoa.org/places/512491137,https://www.openstreetmap.org/way/6661367327,,,,,,,,,,45.1328,36.1367
QNT,0,2,,Qantīr,قنتير,,,,,,,,,,https://www.geonames.org/350767,https://en.wikipedia.org/wiki/Pi-Ramesses,https://ar.wikipedia.org/wiki/بر-رمسيس,,,,,,https://wikidata.org/wiki/Q937930,31.8345,30.8017
QQN,189,1,,Qaqun,قاقون,,,,,קאקון,,uncertain (mod. Kibbutz Hama-apil),,,https://www.geonames.org/10194030,https://en.wikipedia.org/wiki/Qaqun,,,,https://he.wikipedia.org/wiki/קאקון,,,,34.9950,32.3593
