site_id,accuracy,cdli_provenience_id,anc_name,transc_name,ara_name,arm_name,fas_name,geo_name,gre_name,heb_name,rus_name,legacy_name,pleiades_url,osm_url,geonames_url,wik_en,wik_ara,wik_fas,wik_gre,wik_heb,wik_tr,rla_url,wikidata_url,lon_wgs1984,lat_wgs1984
UFR,3,268,,Umm al-Ḥafriyāt,أم الحفريات,,,,,,,uncertain (mod. Umm el-Hafriyat),,https://www.openstreetmap.org/way/235546020,,,,,,,,,,45.4813,32.1323
UGA,3,131,Ugarit,Rās Shamrah,راس شمرة,,,,,,,Ugarit (mod. Ras Shamra),https://pleiades.stoa.org/places/668295,https://www.openstreetmap.org/way/145167629,https://www.geonames.org/165369,https://en.wikipedia.org/wiki/Ugarit,https://ar.wikipedia.org/wiki/أوغاريت,,,,,,https://wikidata.org/wiki/Q191369,35.7853,35.6021
UMA,3,0,,Umm al-Marra,أم المرة,,,,,,,,,https://www.openstreetmap.org/node/572565051,,https://en.wikipedia.org/wiki/Umm_el-Marra,https://ar.wikipedia.org/wiki/أم_المرة,https://fa.wikipedia.org/wiki/ام%E2%80%8Cالمره,,,,,https://wikidata.org/wiki/Q7881676,37.6936,36.1340
UPI,3,55,Upi,Ūbīs,أوبيس,,,,,,,Upi (mod. Opis),https://pleiades.stoa.org/places/894056,,,https://en.wikipedia.org/wiki/Opis,https://ar.wikipedia.org/wiki/أوبيس,,,,,,https://wikidata.org/wiki/Q1287526,44.7014,33.1844
UQA,3,72,,Tall ʻUqair,تل عقير,,,,,,,uncertain (mod. Tell Uqair),,https://www.openstreetmap.org/way/556384365,,https://en.wikipedia.org/wiki/Tell_Uqair,https://ar.wikipedia.org/wiki/تل_عقير,,,,,,https://wikidata.org/wiki/Q1716909,44.6643,32.7817
UQR,3,101 : 381,,Tall Umm al-ʻAjarib,تل ام العجايب,,,,,,,uncertain (mod. Umm al-Aqarib) : Gišša (mod. Umm al-Aqarib),,https://www.openstreetmap.org/node/8853904404,https://www.geonames.org/6755904,,,,,,,,,45.9339,31.6207
URB,3,0,,Qā`lah Arbīl,قلعة أربيل,,,,,,,,,https://www.openstreetmap.org/way/391279970,https://www.geonames.org/95444,https://en.wikipedia.org/wiki/Citadel_of_Erbil,https://ar.wikipedia.org/wiki/قلعة_أربيل,,,,,,https://wikidata.org/wiki/Q206236,44.0093,36.1913
URI,3,21,Ur,Tall al-Muqayyar,تل المقير,,,,,,,Ur (mod. Tell Muqayyar),https://pleiades.stoa.org/places/912985,https://www.openstreetmap.org/way/235546020,https://www.geonames.org/93199,https://en.wikipedia.org/wiki/Ur,https://ar.wikipedia.org/wiki/أور,,,,,,https://wikidata.org/wiki/Q5699,46.1063,30.9607
URK,3,254,Urkiš,Tall Mūzān,تل موزان‎‎,,,,,,,Urkesh (mod. Tell Mozan),https://pleiades.stoa.org/places/404687441,https://www.openstreetmap.org/way/492110353,https://www.geonames.org/166513,https://en.wikipedia.org/wiki/Urkesh,https://ar.wikipedia.org/wiki/تل_موزان,,,,,,https://wikidata.org/wiki/Q1758030,40.9975,37.0572
URU,3,105,Uruk,Warkāʼ,وركاء,,,,,,,Uruk (mod. Warka),https://pleiades.stoa.org/places/912986,https://www.openstreetmap.org/node/385045923,https://www.geonames.org/89703,https://en.wikipedia.org/wiki/Uruk,https://ar.wikipedia.org/wiki/الوركاء,,,,,http://publikationen.badw.de/de/rla/index#12253,https://wikidata.org/wiki/Q168518,45.6395,31.3234
